Condition,Time,Row,Column,Gate,TOF,Extinction,Green,CFU/worm,logCFU
CM100,T48,C,1,R2,2552,2666,624,2.00E+01,1.301029996
CM100,T48,C,2,R2,2474,2110,680,8.20E+02,2.913813852
CM100,T48,C,3,R5,1929,2182,153,0.00E+00,NA
CM100,T48,C,4,R3,2973,2035,30.9,3.60E+02,2.556302501
CM100,T48,C,5,R4,2048,2698,2367,4.00E+04,4.602059991
CM100,T48,C,6,R4,2595,2720,4331,6.60E+02,2.819543936
CM100,T48,C,7,R4,2219,1570,4405,1.80E+05,5.255272505
CM100,T48,C,8,R4,2910,2344,3923,1.40E+05,5.146128036
CM100,T48,C,9,R5,2701,2871,77.8,2.40E+03,3.380211242
CM100,T48,C,10,R3,2831,3862,50.8,2.00E+03,3.301029996
CM100,T48,C,11,R4,2656,3136,5332,1.02E+06,6.008600172
CM100,T48,C,12,R5,2338,2419,491,3.40E+03,3.531478917
CM100,T48,D,1,R3,2378,2763,45.4,1.00E+02,2
CM100,T48,D,2,R4,2452,2761,3715,5.20E+04,4.716003344
CM100,T48,D,3,R5,2119,2454,73,1.40E+02,2.146128036
CM100,T48,D,4,R4,2791,2074,2981,3.60E+05,5.556302501
CM100,T48,D,5,R4,2599,2754,3809,1.24E+05,5.093421685
CM100,T48,D,6,R4,2627,2555,1786,2.20E+04,4.342422681
CM100,T48,D,7,R2,2714,3208,1225,6.60E+03,3.819543936
CM100,T48,D,8,R4,2590,2963,2606,1.60E+05,5.204119983
CM100,T48,D,9,R4,2287,2964,3351,5.80E+04,4.763427994
CM100,T48,D,10,R4,1695,2204,3348,5.60E+05,5.748188027
CM100,T48,D,11,R4,1935,2488,3056,6.00E+05,5.77815125
CM100,T48,D,12,R2,2733,3367,878,5.60E+02,2.748188027
CM250,T48,E,1,R4,2783,2904,3958,4.00E+05,5.602059991
CM250,T48,E,2,R4,2667,1755,3686,7.00E+05,5.84509804
CM250,T48,E,3,R3,2172,1906,43.3,7.00E+03,3.84509804
CM250,T48,E,4,R4,2043,1694,1304,6.22E+04,4.793790385
CM250,T48,E,5,R4,1895,2274,3434,1.08E+05,5.033423755
CM250,T48,E,6,R5,2655,2328,68.5,6.00E+01,1.77815125
CM250,T48,E,7,R5,2342,2360,180,2.40E+02,2.380211242
CM250,T48,E,8,R3,2472,1861,41.7,1.80E+02,2.255272505
CM250,T48,E,9,R5,2865,2251,282,8.40E+02,2.924279286
CM250,T48,E,10,R2,2034,2725,612,5.80E+02,2.763427994
CM250,T48,E,11,R4,2968,3995,3937,9.60E+04,4.982271233
CM250,T48,E,12,R4,2590,2495,1549,1.60E+05,5.204119983
CM250,T48,F,1,R4,2223,3137,3889,6.20E+05,5.792391689
CM250,T48,F,2,R5,2314,2807,329,1.60E+02,2.204119983
CM250,T48,F,3,R5,2592,2713,291,2.20E+03,3.342422681
CM250,T48,F,4,R4,2905,2957,3969,3.60E+05,5.556302501
CM250,T48,F,5,R2,3363,3038,2434,8.80E+04,4.944482672
CM250,T48,F,6,R5,3005,2575,411,4.80E+02,2.681241237
CM250,T48,F,7,R5,3287,2639,551,5.40E+02,2.73239376
CM250,T48,F,8,R5,1977,2325,258,9.00E+02,2.954242509
CM250,T48,F,9,R4,2458,1837,1533,6.60E+03,3.819543936
CM250,T48,F,10,R4,2627,2866,3036,3.00E+05,5.477121255
CM250,T48,F,11,R5,2622,2535,98.4,2.00E+02,2.301029996
CM250,T48,F,12,R5,2115,2454,200,3.20E+02,2.505149978
CM500,T48,G,1,R5,2427,2096,203,6.80E+02,2.832508913
CM500,T48,G,2,R4,2674,2774,3286,6.60E+04,4.819543936
CM500,T48,G,3,R5,3256,4117,132,8.00E+01,1.903089987
CM500,T48,G,4,R4,2356,1903,3369,2.20E+03,3.342422681
CM500,T48,G,5,R4,2425,2372,4107,1.60E+05,5.204119983
CM500,T48,G,6,R5,2552,3130,113,0.00E+00,NA
CM500,T48,G,7,R4,2562,2643,2132,3.20E+04,4.505149978
CM500,T48,G,8,R5,2399,3003,475,2.40E+02,2.380211242
CM500,T48,G,9,R4,2035,2771,3540,3.80E+04,4.579783597
CM500,T48,G,10,R2,1839,2395,1015,2.40E+03,3.380211242
CM500,T48,G,11,R4,3059,2247,2140,9.20E+03,3.963787827
CM500,T48,G,12,R3,2479,1775,38.1,0.00E+00,NA
CM500,T48,H,1,R5,2744,2739,151,1.20E+02,2.079181246
CM500,T48,H,2,R5,2434,2858,172,2.60E+02,2.414973348
CM500,T48,H,3,R3,2505,2081,40.7,1.00E+05,5
CM500,T48,H,3,R4,3032,3260,2787,1.00E+05,5
CM500,T48,H,4,R4,2038,1996,3542,3.20E+05,5.505149978
CM500,T48,H,5,R4,2695,3602,1308,5.20E+03,3.716003344
CM500,T48,H,6,R4,2887,3016,4639,3.40E+05,5.531478917
CM500,T48,H,7,R2,2059,2475,647,7.20E+02,2.857332496
CM500,T48,H,8,R5,2362,2518,146,6.00E+01,1.77815125
CM500,T48,H,9,R5,2720,2808,110,1.80E+02,2.255272505
CM500,T48,H,10,R2,3420,2668,1091,4.00E+03,3.602059991
CM500,T48,H,11,R4,2169,2497,2615,2.20E+04,4.342422681
CM500,T48,H,12,R4,1969,2098,1410,4.00E+01,1.602059991
CM25,T72,A,1,R4,3064,2371,4454,2.00E+05,5.301029996
CM25,T72,A,2,R4,2325,2967,3423,7.60E+05,5.880813592
CM25,T72,A,3,R4,3028,3467,3724,4.20E+04,4.62324929
CM25,T72,A,4,R4,1536,2127,2810,6.40E+03,3.806179974
CM25,T72,A,5,R5,1841,2214,447,1.60E+03,3.204119983
CM25,T72,A,6,R5,2258,2922,350,3.60E+02,2.556302501
CM25,T72,A,7,R4,1709,2120,3446,4.20E+05,5.62324929
CM25,T72,A,8,R4,2920,2627,4428,1.40E+05,5.146128036
CM25,T72,A,9,R4,2503,3112,4722,6.40E+05,5.806179974
CM25,T72,A,10,R4,2980,3006,5102,3.60E+05,5.556302501
CM25,T72,A,11,R4,2462,3406,4110,9.40E+05,5.973127854
CM25,T72,A,12,R2,2273,2656,1089,8.00E+01,1.903089987
CM25,T72,B,1,R4,2036,2163,1916,2.40E+05,5.380211242
CM25,T72,B,2,R4,2716,4142,5232,8.40E+05,5.924279286
CM25,T72,B,3,R4,2268,3203,4258,1.52E+06,6.181843588
CM25,T72,B,4,R4,2495,3582,5004,3.80E+05,5.579783597
CM25,T72,B,5,R4,2510,2646,3151,4.40E+04,4.643452676
CM25,T72,B,6,R4,2736,3455,4634,3.60E+05,5.556302501
CM25,T72,B,7,R4,1702,2875,3465,5.20E+05,5.716003344
CM25,T72,B,8,R4,1641,2389,3213,5.80E+05,5.763427994
CM25,T72,B,9,R4,2154,2653,4100,7.60E+05,5.880813592
CM25,T72,B,10,R4,2609,2680,4925,1.04E+06,6.017033339
CM25,T72,B,11,R5,2550,2818,377,5.80E+03,3.763427994
CM25,T72,B,12,R2,2789,3842,907,6.20E+02,2.792391689
CM100,T72,C,1,R4,2190,2210,3925,2.00E+04,4.301029996
CM100,T72,C,2,R4,2101,2635,4007,2.40E+05,5.380211242
CM100,T72,C,3,R4,2257,2474,3878,1.28E+05,5.10720997
CM100,T72,C,4,R4,1735,1975,3252,6.80E+05,5.832508913
CM100,T72,C,5,R4,2614,3347,4895,4.00E+05,5.602059991
CM100,T72,C,6,R4,2571,2376,3426,6.00E+04,4.77815125
CM100,T72,C,7,R5,2349,3485,493,3.60E+03,3.556302501
CM100,T72,C,8,R4,2307,2867,3521,9.80E+04,4.991226076
CM100,T72,C,9,R4,2364,3179,4438,7.80E+05,5.892094603
CM100,T72,C,10,R2,2546,2794,866,2.40E+03,3.380211242
CM100,T72,C,11,R4,2482,3115,2389,5.80E+05,5.763427994
CM100,T72,C,12,R4,2695,3226,5086,3.80E+05,5.579783597
CM100,T72,D,1,R4,1717,2742,3300,1.04E+06,6.017033339
CM100,T72,D,2,R2,3362,3329,5469,8.40E+05,5.924279286
CM100,T72,D,3,R4,2369,2817,4055,2.20E+05,5.342422681
CM100,T72,D,4,R4,2566,2827,4898,1.80E+05,5.255272505
CM100,T72,D,5,R5,1857,1838,178,1.80E+03,3.255272505
CM100,T72,D,6,R4,2899,3991,5230,7.60E+05,5.880813592
CM100,T72,D,7,R4,1529,2451,3054,1.16E+06,6.064457989
CM100,T72,D,8,R4,1836,2807,3664,1.20E+06,6.079181246
CM100,T72,D,9,R4,1840,2315,3178,7.60E+04,4.880813592
CM100,T72,D,10,R4,2231,3181,3995,7.20E+05,5.857332496
CM100,T72,D,11,R4,2362,2559,2915,4.20E+04,4.62324929
CM100,T72,D,12,R4,1907,2158,2815,7.60E+05,5.880813592
CM250,T72,E,1,R2,2210,2028,627,4.00E+02,2.602059991
CM250,T72,E,2,R5,1682,2376,89.2,5.60E+03,3.748188027
CM250,T72,E,3,R4,2169,3012,4237,4.40E+05,5.643452676
CM250,T72,E,4,R4,1893,2332,3347,6.00E+05,5.77815125
CM250,T72,E,5,R2,1647,1975,1063,2.00E+04,4.301029996
CM250,T72,E,6,R4,2226,2734,3567,3.20E+05,5.505149978
CM250,T72,E,7,R4,2345,2411,2170,3.40E+03,3.531478917
CM250,T72,E,8,R4,2085,2732,3022,1.60E+04,4.204119983
CM250,T72,E,9,R5,2035,2559,457,5.40E+02,2.73239376
CM250,T72,E,10,R3,2315,1818,31.3,4.40E+02,2.643452676
CM250,T72,E,11,R4,2433,2701,1342,4.00E+03,3.602059991
CM250,T72,E,12,R4,1776,2678,3384,2.20E+05,5.342422681
CM250,T72,F,1,R5,2133,2828,281,2.00E+03,3.301029996
CM250,T72,F,2,R2,2428,2832,688,1.08E+03,3.033423755
CM250,T72,F,3,R4,2592,3180,1867,2.60E+05,5.414973348
CM250,T72,F,4,R5,2426,2493,475,4.00E+03,3.602059991
CM250,T72,F,5,R5,2577,3719,67.8,8.00E+01,1.903089987
CM250,T72,F,6,R4,2576,3401,4147,3.00E+05,5.477121255
CM250,T72,F,7,R2,2265,2782,724,2.00E+03,3.301029996
CM250,T72,F,8,R5,2409,2845,398,2.20E+03,3.342422681
CM250,T72,F,9,R4,2080,2417,3154,7.20E+05,5.857332496
CM250,T72,F,10,R4,2080,2347,1886,7.80E+03,3.892094603
CM250,T72,F,11,R5,2251,2815,135,4.20E+02,2.62324929
CM250,T72,F,12,R4,2471,2985,4195,1.60E+04,4.204119983
CM500,T72,G,1,R5,2377,2421,51.5,6.00E+01,1.77815125
CM500,T72,G,2,R4,2847,2319,3062,2.20E+04,4.342422681
CM500,T72,G,3,R4,1752,2507,3309,7.60E+05,5.880813592
CM500,T72,G,4,R4,2816,4067,4808,9.80E+04,4.991226076
CM500,T72,G,5,R4,1949,2245,2007,2.60E+05,5.414973348
CM500,T72,G,6,R5,2063,2572,258,9.40E+02,2.973127854
CM500,T72,G,7,R4,2801,3106,3682,2.60E+05,5.414973348
CM500,T72,G,8,R2,2607,2802,1005,5.60E+03,3.748188027
CM500,T72,G,9,R4,1521,2215,2971,3.60E+05,5.556302501
CM500,T72,G,10,R5,2233,3257,227,2.40E+02,2.380211242
CM500,T72,G,11,R4,2403,2387,1955,2.08E+04,4.318063335
CM500,T72,G,12,R4,2700,2945,4370,2.20E+05,5.342422681
CM500,T72,H,1,R4,2588,3007,4218,2.60E+05,5.414973348
CM500,T72,H,2,R5,1907,2212,145,5.80E+02,2.763427994
CM500,T72,H,3,R2,2168,2401,969,2.60E+03,3.414973348
CM500,T72,H,4,R4,2254,2800,2007,4.20E+03,3.62324929
CM500,T72,H,5,R5,2500,2977,65.6,1.60E+03,3.204119983
CM500,T72,H,6,R5,2556,2376,356,5.00E+02,2.698970004
CM500,T72,H,7,R4,2173,2947,4116,1.26E+06,6.100370545
CM500,T72,H,8,R5,2107,2129,438,8.00E+02,2.903089987
CM500,T72,H,9,R5,2425,1953,54.7,1.20E+03,3.079181246
CM500,T72,H,10,R4,1755,2279,2887,7.80E+04,4.892094603
CM500,T72,H,11,R4,2325,2865,2832,3.80E+04,4.579783597
CM500,T72,H,12,R5,2238,1946,68.1,5.40E+02,2.73239376
