Density,Time,CFU,logCFU
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,12,20,1.301029996
10^7,12,20,1.301029996
10^7,12,360,2.556302501
10^7,12,140,2.146128036
10^7,12,0,#NUM!
10^7,12,20,1.301029996
10^7,12,180,2.255272505
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,40,1.602059991
10^7,12,120,2.079181246
10^7,12,60,1.77815125
10^7,12,140,2.146128036
10^7,12,580,2.763427994
10^7,12,0,#NUM!
10^7,12,0,#NUM!
10^7,12,60,1.77815125
10^7,12,320,2.505149978
10^7,12,180,2.255272505
10^7,12,20,1.301029996
10^7,12,0,#NUM!
10^7,18,400,2.602059991
10^7,18,8200,3.913813852
10^7,18,240,2.380211242
10^7,18,280,2.447158031
10^7,18,440,2.643452676
10^7,18,680,2.832508913
10^7,18,9600,3.982271233
10^7,18,2400,3.380211242
10^7,18,200,2.301029996
10^7,18,0,#NUM!
10^7,18,200,2.301029996
10^7,18,8800,3.944482672
10^7,18,340,2.531478917
10^7,18,4000,3.602059991
10^7,18,680,2.832508913
10^7,18,560,2.748188027
10^7,18,5400,3.73239376
10^7,18,220,2.342422681
10^7,18,2000,3.301029996
10^7,18,520,2.716003344
10^7,18,1800,3.255272505
10^7,18,1040,3.017033339
10^7,18,4800,3.681241237
10^7,18,580,2.763427994
10^7,24,300,2.477121255
10^7,24,3400,3.531478917
10^7,24,3000,3.477121255
10^7,24,5000,3.698970004
10^7,24,64000,4.806179974
10^7,24,680,2.832508913
10^7,24,960,2.982271233
10^7,24,24000,4.380211242
10^7,24,20,1.301029996
10^7,24,0,#NUM!
10^7,24,20,1.301029996
10^7,24,880,2.944482672
10^7,24,34000,4.531478917
10^7,24,4000,3.602059991
10^7,24,6800,3.832508913
10^7,24,56000,4.748188027
10^7,24,5400,3.73239376
10^7,24,22000,4.342422681
10^7,24,20000,4.301029996
10^7,24,52000,4.716003344
10^7,24,180,2.255272505
10^7,24,10400,4.017033339
10^7,24,480,2.681241237
10^7,24,5800,3.763427994
10^7,36,60,1.77815125
10^7,36,2400,3.380211242
10^7,36,0,#NUM!
10^7,36,1360,3.133538908
10^7,36,20,1.301029996
10^7,36,1800,3.255272505
10^7,36,20,1.301029996
10^7,36,0,#NUM!
10^7,36,420,2.62324929
10^7,36,40,1.602059991
10^7,36,16400,4.214843848
10^7,36,7800,3.892094603
10^7,36,0,#NUM!
10^7,36,70000,4.84509804
10^7,36,0,#NUM!
10^7,36,156000,5.193124598
10^7,36,0,#NUM!
10^7,36,140,2.146128036
10^7,36,0,#NUM!
10^7,36,0,#NUM!
10^7,36,180,2.255272505
10^7,36,20800,4.318063335
10^7,36,34000,4.531478917
10^7,36,1040,3.017033339
10^8,12,200,2.301029996
10^8,12,20,1.301029996
10^8,12,80,1.903089987
10^8,12,2600,3.414973348
10^8,12,120,2.079181246
10^8,12,320,2.505149978
10^8,12,80,1.903089987
10^8,12,20,1.301029996
10^8,12,20,1.301029996
10^8,12,0,#NUM!
10^8,12,20,1.301029996
10^8,12,40,1.602059991
10^8,12,580,2.763427994
10^8,12,40,1.602059991
10^8,12,40,1.602059991
10^8,12,800,2.903089987
10^8,12,20,1.301029996
10^8,12,80,1.903089987
10^8,12,180,2.255272505
10^8,12,680,2.832508913
10^8,12,20,1.301029996
10^8,12,660,2.819543936
10^8,12,NA,#VALUE!
10^8,12,20,1.301029996
10^8,18,5200,3.716003344
10^8,18,5400,3.73239376
10^8,18,4000,3.602059991
10^8,18,60000,4.77815125
10^8,18,26000,4.414973348
10^8,18,6400,3.806179974
10^8,18,9600,3.982271233
10^8,18,52000,4.716003344
10^8,18,2600,3.414973348
10^8,18,1400,3.146128036
10^8,18,140,2.146128036
10^8,18,60,1.77815125
10^8,18,8800,3.944482672
10^8,18,36000,4.556302501
10^8,18,9400,3.973127854
10^8,18,3400,3.531478917
10^8,18,520,2.716003344
10^8,18,14000,4.146128036
10^8,18,100,2
10^8,18,600,2.77815125
10^8,18,3800,3.579783597
10^8,18,4000,3.602059991
10^8,18,160,2.204119983
10^8,18,14000,4.146128036
10^8,24,500,2.698970004
10^8,24,180,2.255272505
10^8,24,10200,4.008600172
10^8,24,540,2.73239376
10^8,24,7000,3.84509804
10^8,24,10200,4.008600172
10^8,24,6400,3.806179974
10^8,24,8400,3.924279286
10^8,24,7400,3.86923172
10^8,24,360,2.556302501
10^8,24,100,2
10^8,24,14000,4.146128036
10^8,24,4200,3.62324929
10^8,24,220,2.342422681
10^8,24,4400,3.643452676
10^8,24,3400,3.531478917
10^8,24,22000,4.342422681
10^8,24,5200,3.716003344
10^8,24,152000,5.181843588
10^8,24,1800,3.255272505
10^8,24,26000,4.414973348
10^8,24,96000,4.982271233
10^8,24,9800,3.991226076
10^8,24,1600,3.204119983
10^8,36,7200,3.857332496
10^8,36,580,2.763427994
10^8,36,7400,3.86923172
10^8,36,1500,3.176091259
10^8,36,240,2.380211242
10^8,36,2800,3.447158031
10^8,36,122000,5.086359831
10^8,36,18000,4.255272505
10^8,36,1600,3.204119983
10^8,36,80,1.903089987
10^8,36,10400,4.017033339
10^8,36,600,2.77815125
10^8,36,96000,4.982271233
10^8,36,12400,4.093421685
10^8,36,120,2.079181246
10^8,36,82000,4.913813852
10^8,36,162000,5.209515015
10^8,36,2600,3.414973348
10^8,36,140,2.146128036
10^8,36,22000,4.342422681
10^8,36,40000,4.602059991
10^8,36,4800,3.681241237
10^8,36,300000,5.477121255
10^8,36,42000,4.62324929
10^9,12,60,1.77815125
10^9,12,200,2.301029996
10^9,12,700,2.84509804
10^9,12,40,1.602059991
10^9,12,480,2.681241237
10^9,12,140,2.146128036
10^9,12,3600,3.556302501
10^9,12,5800,3.763427994
10^9,12,9400,3.973127854
10^9,12,1800,3.255272505
10^9,12,2600,3.414973348
10^9,12,2000,3.301029996
10^9,12,3600,3.556302501
10^9,12,26000,4.414973348
10^9,12,60,1.77815125
10^9,12,2800,3.447158031
10^9,12,80,1.903089987
10^9,12,320,2.505149978
10^9,12,220,2.342422681
10^9,12,420,2.62324929
10^9,12,7400,3.86923172
10^9,12,1800,3.255272505
10^9,12,120,2.079181246
10^9,12,14000,4.146128036
10^9,18,26000,4.414973348
10^9,18,100,2
10^9,18,10000,4
10^9,18,3800,3.579783597
10^9,18,240,2.380211242
10^9,18,200,2.301029996
10^9,18,240,2.380211242
10^9,18,9200,3.963787827
10^9,18,1600,3.204119983
10^9,18,3000,3.477121255
10^9,18,8200,3.913813852
10^9,18,108000,5.033423755
10^9,18,14000,4.146128036
10^9,18,120,2.079181246
10^9,18,6800,3.832508913
10^9,18,1000,3
10^9,18,76000,4.880813592
10^9,18,18000,4.255272505
10^9,18,2400,3.380211242
10^9,18,12000,4.079181246
10^9,18,2800,3.447158031
10^9,18,5400,3.73239376
10^9,18,3400,3.531478917
10^9,18,2600,3.414973348
10^9,24,10400,4.017033339
10^9,24,12000,4.079181246
10^9,24,106000,5.025305865
10^9,24,3200,3.505149978
10^9,24,1800,3.255272505
10^9,24,22000,4.342422681
10^9,24,42000,4.62324929
10^9,24,720,2.857332496
10^9,24,3000,3.477121255
10^9,24,6400,3.806179974
10^9,24,1000,3
10^9,24,300,2.477121255
10^9,24,60,1.77815125
10^9,24,7800,3.892094603
10^9,24,60000,4.77815125
10^9,24,2000,3.301029996
10^9,24,60,1.77815125
10^9,24,9600,3.982271233
10^9,24,9600,3.982271233
10^9,24,1400,3.146128036
10^9,24,18000,4.255272505
10^9,24,26000,4.414973348
10^9,24,10600,4.025305865
10^9,24,6000,3.77815125
10^9,36,12600,4.100370545
10^9,36,7400,3.86923172
10^9,36,36000,4.556302501
10^9,36,600,2.77815125
10^9,36,300000,5.477121255
10^9,36,136000,5.133538908
10^9,36,34000,4.531478917
10^9,36,146000,5.164352856
10^9,36,500,2.698970004
10^9,36,162000,5.209515015
10^9,36,26000,4.414973348
10^9,36,9000,3.954242509
10^9,36,700,2.84509804
10^9,36,1100,3.041392685
10^9,36,13600,4.133538908
10^9,36,16000,4.204119983
10^9,36,34000,4.531478917
10^9,36,82000,4.913813852
10^9,36,114000,5.056904851
10^9,36,13800,4.139879086
10^9,36,164000,5.214843848
10^9,36,11400,4.056904851
10^9,36,192000,5.283301229
10^9,36,144000,5.158362492